chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[4250:4299],85,4250,4299,,,reference,0.795849959113935,0.7,0.3,True,0.585167002816058,0.7,0.3,False,0.26388428594591423,0.7,0.3,True,0.24881670511243031,0.7,0.3,True,0.49123525990925143,0.7,0.3,False
[4300:4349],86,4300,4349,,,reference,0.8520446866460747,0.7,0.3,True,0.7516905807472986,0.7,0.3,True,0.18414596628097585,0.7,0.3,True,0.23207992323253576,0.7,0.3,True,0.45656320547432655,0.7,0.3,False
[4350:4399],87,4350,4399,,,reference,0.8551096495197175,0.7,0.3,True,0.7603347973143613,0.7,0.3,True,0.22716533069518968,0.7,0.3,True,0.23288608620771925,0.7,0.3,True,0.5149134052484796,0.7,0.3,False
[4400:4449],88,4400,4449,,,reference,0.858908844011194,0.7,0.3,True,0.8304638264513456,0.7,0.3,True,0.25471947094669084,0.7,0.3,True,0.28587935235646467,0.7,0.3,True,0.46709240677746167,0.7,0.3,False
[4450:4499],89,4450,4499,,,reference,0.9005139215979192,0.7,0.3,True,0.7724922128142293,0.7,0.3,True,0.20930543406131658,0.7,0.3,True,0.22970178134713057,0.7,0.3,True,0.47367379542540794,0.7,0.3,False
[4500:4549],90,4500,4549,,,reference,0.9005139215979192,0.7,0.3,True,0.8052021149957205,0.7,0.3,True,0.19525808604713119,0.7,0.3,True,0.1822945858918456,0.7,0.3,True,0.5099364676711319,0.7,0.3,False
[4550:4599],91,4550,4599,,,reference,0.8849077010676928,0.7,0.3,True,0.6783212211208355,0.7,0.3,False,0.15183504862481614,0.7,0.3,True,0.16486417268404482,0.7,0.3,True,0.44724885514085777,0.7,0.3,False
[4600:4649],92,4600,4649,,,reference,0.9468886902557617,0.7,0.3,True,0.793057927739421,0.7,0.3,True,0.22227486399940205,0.7,0.3,True,0.2351793163144813,0.7,0.3,True,0.5437570012219979,0.7,0.3,False
[4650:4699],93,4650,4699,,,reference,0.9030135353774689,0.7,0.3,True,0.7841309792469298,0.7,0.3,True,0.21773839873092107,0.7,0.3,True,0.22699111201280664,0.7,0.3,True,0.4484397955877606,0.7,0.3,False
[4700:4749],94,4700,4749,,,reference,0.9078576158221312,0.7,0.3,True,0.8089953009992329,0.7,0.3,True,0.2568899307119671,0.7,0.3,True,0.15244617591047402,0.7,0.3,True,0.5468362679807799,0.7,0.3,False
